id,probablity,label
9733,0.00016235497605521232,0.0
63,0.9550589919090271,1.0
6400,0.858599066734314,1.0
823,0.9999997615814209,1.0
4217,0.0006092846742831171,0.0
3578,0.49125075340270996,0.0
10321,0.9999998807907104,1.0
2666,0.9979248046875,1.0
5109,0.21150806546211243,0.0
11981,0.003512681694701314,0.0
10447,0.02357390522956848,0.0
2100,1.3610951100417878e-05,0.0
11759,0.02645895816385746,0.0
4571,0.9447034001350403,1.0
7078,0.9641892910003662,1.0
12250,0.7490172982215881,1.0
1409,0.9981638789176941,1.0
9055,0.12541592121124268,0.0
6366,0.9970389604568481,1.0
12244,0.06936296075582504,0.0
189,2.2946691387915052e-05,0.0
9041,0.002058306708931923,0.0
6372,0.09457492083311081,0.0
11995,0.029430527240037918,0.0
10453,0.10889362543821335,0.0
2114,0.9989953637123108,1.0
4565,0.008580159395933151,0.0
4203,0.9999998807907104,1.0
10335,0.999861478805542,1.0
2672,1.1304474583084811e-06,0.0
9727,0.0002621178573463112,0.0
6414,0.003125047544017434,0.0
77,0.9999610185623169,1.0
8439,1.0,1.0
837,0.9984637498855591,1.0
2882,0.9860710501670837,1.0
3544,0.9967684745788574,1.0
11003,0.21859197318553925,0.0
5135,0.8452429175376892,1.0
1353,0.9978724718093872,1.0
7722,0.2442243993282318,0.0
8411,0.9982129335403442,1.0
7044,0.10430207848548889,0.0
8377,0.002144105965271592,0.0
1435,0.9951300621032715,1.0
9069,0.9840385913848877,1.0
5653,0.9999408721923828,1.0
3222,0.9997757077217102,1.0
11765,0.9989438652992249,1.0
5647,4.425548070230434e-07,0.0
2128,0.000604370899964124,0.0
3236,7.16677206469285e-08,0.0
11771,0.0006573863793164492,0.0
4559,0.9986032843589783,1.0
7050,0.0013741310685873032,0.0
8363,0.0002336416655452922,0.0
12278,0.9965433478355408,1.0
1421,0.5947784185409546,1.0
6428,0.9999899864196777,1.0
1347,5.496188805409474e-06,0.0
7736,0.3640899658203125,0.0
8405,0.022250564768910408,0.0
2896,6.350386684061959e-06,0.0
3550,0.9972311854362488,1.0
11017,0.06796341389417648,0.0
10309,0.018513783812522888,0.0
5121,0.9819177985191345,1.0
9928,0.013244765810668468,0.0
638,0.00016265433805529028,0.0
7905,0.9648893475532532,1.0
9096,0.00015458135749213398,0.0
8388,0.9674052596092224,1.0
12293,0.9990390539169312,1.0
5874,0.7464173436164856,1.0
11942,7.608246960444376e-06,0.0
10484,0.9999881982803345,1.0
5860,0.9979647397994995,1.0
11956,0.9649341702461243,1.0
10490,0.9826116561889648,1.0
9082,0.6804893612861633,1.0
12287,0.006863943766802549,0.0
7911,0.9998459815979004,1.0
2869,0.11408736556768417,0.0
9914,0.6029335260391235,1.0
7939,0.0735626295208931,0.0
1390,0.04969608411192894,0.0
604,0.0007693497464060783,0.0
